Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
OPENJPA,9,RandomForest,None,None,SensitiveLearning,0.479,0.435,0.784,0.450,0.456
OPENJPA,9,NaiveBayes,None,None,SensitiveLearning,0.058,0.408,0.845,0.084,0.101
OPENJPA,9,IBk,None,None,SensitiveLearning,0.432,0.429,0.789,0.425,0.431
OPENJPA,10,RandomForest,None,None,None,0.850,0.510,0.940,0.634,0.638
OPENJPA,10,NaiveBayes,None,None,None,0.072,0.425,0.854,0.106,0.123
OPENJPA,10,IBk,None,None,None,0.851,0.485,0.921,0.615,0.618
OPENJPA,10,RandomForest,BestFirst,None,None,0.750,0.060,0.855,0.110,0.111
OPENJPA,10,NaiveBayes,BestFirst,None,None,0.086,0.385,0.834,0.125,0.141
OPENJPA,10,IBk,BestFirst,None,None,0.800,0.060,0.835,0.110,0.112
OPENJPA,10,RandomForest,None,SMOTE,None,0.512,0.650,0.944,0.567,0.573
OPENJPA,10,NaiveBayes,None,SMOTE,None,0.064,0.575,0.862,0.097,0.115
OPENJPA,10,IBk,None,SMOTE,None,0.474,0.635,0.923,0.537,0.543
OPENJPA,10,RandomForest,None,None,SensitiveLearning,0.536,0.715,0.938,0.607,0.612
OPENJPA,10,NaiveBayes,None,None,SensitiveLearning,0.068,0.455,0.854,0.101,0.118
OPENJPA,10,IBk,None,None,SensitiveLearning,0.522,0.700,0.921,0.593,0.598
OPENJPA,11,RandomForest,None,None,None,0.884,0.530,0.935,0.660,0.663
OPENJPA,11,NaiveBayes,None,None,None,0.071,0.395,0.836,0.104,0.121
OPENJPA,11,IBk,None,None,None,0.813,0.526,0.917,0.635,0.638
OPENJPA,11,RandomForest,BestFirst,None,None,0.591,0.060,0.828,0.108,0.110
OPENJPA,11,NaiveBayes,BestFirst,None,None,0.080,0.363,0.815,0.115,0.132
OPENJPA,11,IBk,BestFirst,None,None,0.571,0.056,0.820,0.100,0.102
OPENJPA,11,RandomForest,None,SMOTE,None,0.601,0.679,0.926,0.633,0.638
OPENJPA,11,NaiveBayes,None,SMOTE,None,0.061,0.535,0.842,0.091,0.109
OPENJPA,11,IBk,None,SMOTE,None,0.518,0.665,0.915,0.577,0.582
OPENJPA,11,RandomForest,None,None,SensitiveLearning,0.539,0.740,0.934,0.619,0.624
OPENJPA,11,NaiveBayes,None,None,SensitiveLearning,0.066,0.419,0.836,0.097,0.114
OPENJPA,11,IBk,None,None,SensitiveLearning,0.526,0.740,0.917,0.610,0.615
OPENJPA,12,RandomForest,None,None,None,0.744,0.335,0.859,0.459,0.462
OPENJPA,12,NaiveBayes,None,None,None,0.060,0.385,0.823,0.087,0.103
OPENJPA,12,IBk,None,None,None,0.593,0.335,0.794,0.424,0.428
OPENJPA,12,RandomForest,BestFirst,None,None,0.158,0.015,0.773,0.026,0.027
OPENJPA,12,NaiveBayes,BestFirst,None,None,0.063,0.350,0.780,0.092,0.107
OPENJPA,12,IBk,BestFirst,None,None,0.158,0.015,0.735,0.026,0.027
OPENJPA,12,RandomForest,None,SMOTE,None,0.480,0.490,0.836,0.480,0.485
OPENJPA,12,NaiveBayes,None,SMOTE,None,0.049,0.505,0.828,0.072,0.089
OPENJPA,12,IBk,None,SMOTE,None,0.380,0.515,0.799,0.431,0.437
OPENJPA,12,RandomForest,None,None,SensitiveLearning,0.410,0.535,0.856,0.458,0.464
OPENJPA,12,NaiveBayes,None,None,SensitiveLearning,0.054,0.400,0.823,0.079,0.095
OPENJPA,12,IBk,None,None,SensitiveLearning,0.375,0.545,0.794,0.437,0.444
