ID,Size,Predicted,Actual
811,1,0.023028,NO
812,16,0.030000,NO
813,4,0.000000,NO
814,1,0.007974,NO
815,1,0.005545,NO
816,1,0.023028,NO
817,9,0.000000,NO
818,1,0.000000,NO
819,1,0.023028,NO
820,1,0.000000,NO
821,2,0.000000,NO
822,1,0.000000,NO
823,4,0.000000,NO
824,0,0.000000,NO
825,1,0.023028,NO
826,1,0.000000,NO
827,1,0.023028,NO
828,1,0.023028,NO
829,7,0.000000,NO
830,7,0.000000,NO
831,7,0.000000,NO
832,4,0.000000,NO
833,4,0.000000,NO
834,1,0.007974,NO
835,0,0.000000,NO
836,4,0.000000,NO
837,1,0.000000,NO
838,1,0.023028,NO
839,1,0.023028,NO
840,9,0.000000,NO
841,5,0.000000,NO
842,1,0.023028,NO
843,5,0.000000,NO
844,1,0.000000,NO
845,3,0.000000,NO
846,10,0.000000,NO
847,1,0.005545,NO
848,1,0.000000,NO
849,0,0.000000,NO
850,7,0.000000,NO
851,1,0.005545,NO
852,1,0.000000,NO
853,1,0.023028,NO
854,1,0.023028,NO
855,40,0.030000,NO
856,5,0.000000,NO
857,3,0.000000,NO
858,0,0.000000,NO
859,0,0.000000,NO
860,1,0.000000,NO
861,12,0.000000,NO
862,1,0.007974,NO
863,4,0.000000,NO
864,1,0.023028,NO
865,1,0.005545,NO
866,1,0.007974,NO
867,1,0.007974,NO
868,1,0.007974,NO
869,0,0.000000,NO
870,1,0.005545,NO
871,12,0.000000,NO
872,1,0.023028,NO
873,1,0.007974,NO
874,1,0.023028,NO
875,0,0.000000,NO
876,0,0.000000,NO
877,2,0.059422,NO
878,3,0.000000,NO
879,32,0.000000,NO
880,3,0.000000,NO
881,4,0.000000,NO
882,1,0.007974,NO
883,1,0.007974,NO
884,1,0.005545,NO
885,5,0.010000,NO
886,1,0.000000,NO
887,1,0.000000,NO
888,1,0.005545,NO
889,1,0.007974,NO
890,1,0.000000,NO
891,1,0.000000,NO
892,1,0.007974,NO
893,1,0.000000,NO
894,1,0.000000,NO
895,1,0.000000,NO
896,1,0.000000,NO
897,27,0.140000,NO
898,0,0.000000,NO
899,0,0.000000,NO
900,0,0.000000,NO
901,1,0.007974,NO
902,1,0.005545,NO
903,1,0.007974,NO
904,1,0.007974,NO
905,4,0.512813,NO
906,5,0.000000,NO
907,1,0.005545,NO
908,9,0.000000,NO
909,1,0.000000,NO
910,5,0.000000,NO
911,1,0.023028,NO
912,1,0.000000,NO
913,4,0.000000,NO
914,1,0.023028,NO
915,5,0.000000,NO
916,1,0.023028,NO
917,4,0.095389,NO
918,5,0.000000,NO
919,6,0.350134,NO
920,1,0.023028,NO
921,3,0.000000,NO
922,0,0.000000,NO
923,0,0.000000,NO
924,0,0.000000,NO
925,0,0.000000,NO
926,0,0.000000,NO
927,0,0.000000,NO
928,0,0.000000,NO
929,0,0.000000,NO
930,0,0.000000,NO
931,0,0.000000,NO
932,0,0.000000,NO
933,0,0.000000,NO
934,0,0.000000,NO
935,0,0.000000,NO
936,0,0.000000,NO
937,1,0.007974,NO
938,1,0.000000,NO
939,1,0.005545,NO
940,1,0.000000,NO
941,1,0.000000,NO
942,1,0.000000,NO
943,1,0.000000,NO
944,1,0.007974,NO
945,1,0.000000,NO
946,1,0.000000,NO
947,1,0.007974,NO
948,1,0.000000,NO
949,1,0.000000,NO
950,4,0.071570,NO
951,1,0.000000,NO
952,1,0.007974,NO
953,1,0.007974,NO
954,1,0.007974,NO
955,1,0.000000,NO
956,7,0.020000,NO
957,1,0.000000,NO
958,1,0.007974,NO
959,1,0.005545,NO
960,1,0.007974,NO
961,3,0.000000,NO
962,1,0.005545,NO
963,3,0.000000,NO
964,2,0.000000,NO
965,1,0.000000,NO
966,3,0.000000,NO
967,1,0.023028,NO
968,1,0.000000,NO
969,4,0.000000,NO
970,1,0.023028,NO
971,3,0.000000,NO
972,1,0.023028,NO
973,35,0.000000,NO
974,1,0.005545,NO
975,1,0.007974,NO
976,1,0.005545,NO
977,1,0.007974,NO
978,0,0.000000,NO
979,5,0.000000,NO
980,21,0.030000,NO
981,1,0.000000,NO
982,1,0.000000,NO
983,1,0.023028,NO
984,1,0.000000,NO
985,1,0.023028,NO
986,1,0.000000,NO
987,1,0.023028,NO
988,1,0.000000,NO
989,3,0.000000,NO
990,5,0.000000,NO
991,2,0.000000,NO
992,1,0.007974,NO
993,1,0.007974,NO
994,3,0.000000,NO
995,20,0.080000,NO
996,11,0.000000,NO
997,8,0.000000,NO
998,22,0.070000,NO
999,3,0.000000,NO
1000,4,0.000000,NO
1001,4,0.000000,NO
1002,2,0.000000,NO
1003,3,0.000000,NO
1004,6,0.000000,NO
1005,3,0.000000,NO
1006,4,0.000000,NO
1007,2,0.000000,NO
1008,1,0.007974,NO
1009,1,0.005545,NO
1010,3,0.000000,NO
1011,1,0.005545,NO
1012,3,0.000000,NO
1013,1,0.000000,NO
1014,3,0.000000,NO
1015,1,0.023028,NO
1016,1,0.000000,NO
1017,4,0.000000,NO
1018,1,0.023028,NO
1019,3,0.000000,NO
1020,1,0.023028,NO
1021,11,0.083028,NO
1022,4,0.000000,NO
1023,36,0.000000,NO
1024,11,0.010000,NO
1025,3,0.000000,NO
1026,3,0.000000,NO
1027,1,0.023028,NO
1028,3,0.000000,NO
1029,1,0.000000,NO
1030,3,0.000000,NO
1031,1,0.023028,NO
1032,3,0.000000,NO
1033,1,0.000000,NO
1034,3,0.000000,NO
1035,0,0.000000,NO
1036,1,0.007974,NO
1037,1,0.007974,NO
1038,1,0.005545,NO
1039,5,0.000000,NO
1040,1,0.000000,NO
1041,1,0.000000,NO
1042,1,0.000000,NO
1043,1,0.000000,NO
1044,1,0.000000,NO
1045,1,0.005545,NO
1046,1,0.005545,NO
1047,5,0.030000,NO
1048,3,0.000000,NO
1049,3,0.000000,NO
1050,3,0.000000,NO
1051,5,0.000000,NO
1052,1,0.000000,NO
1053,3,0.000000,NO
1054,5,0.000000,NO
1055,5,0.000000,NO
1056,1,0.000000,NO
1057,1,0.000000,NO
1058,1,0.000000,NO
1059,1,0.000000,NO
1060,3,0.009000,NO
1061,3,0.000000,NO
1062,1,0.007974,NO
1063,5,0.000000,NO
1064,1,0.000000,NO
1065,1,0.007974,NO
1066,1,0.007974,NO
1067,1,0.007974,NO
1068,1,0.007974,NO
1069,1,0.007974,NO
1070,1,0.000000,NO
1071,1,0.023028,NO
1072,1,0.000000,NO
1073,1,0.000000,NO
1074,1,0.000000,NO
1075,1,0.000000,NO
1076,2,0.000000,NO
1077,1,0.000000,NO
1078,1,0.000000,NO
1079,1,0.000000,NO
1080,1,0.000000,NO
1081,1,0.000000,NO
1082,1,0.005545,NO
1083,1,0.000000,NO
1084,1,0.000000,NO
1085,1,0.005545,NO
1086,1,0.023028,NO
1087,1,0.005545,NO
1088,1,0.000000,NO
1089,1,0.005545,NO
1090,1,0.005545,NO
1091,1,0.005545,NO
1092,1,0.005545,NO
1093,1,0.005545,NO
1094,1,0.005545,NO
1095,1,0.005545,NO
1096,1,0.005545,NO
1097,1,0.005545,NO
1098,1,0.005545,NO
1099,1,0.005545,NO
1100,3,0.000000,NO
1101,1,0.000000,NO
1102,0,0.000000,NO
1103,0,0.000000,NO
1104,8,0.000000,NO
1105,9,0.000000,NO
1106,1,0.000000,NO
1107,1,0.005545,NO
1108,1,0.007974,NO
1109,1,0.007974,NO
1110,1,0.005545,NO
1111,1,0.005545,NO
1112,1,0.023028,NO
1113,7,0.030000,NO
1114,5,0.000000,NO
1115,3,0.000000,NO
1116,33,0.050000,NO
1117,11,0.000000,NO
1118,3,0.000000,NO
1119,4,0.000000,NO
1120,1,0.007974,NO
1121,1,0.005545,NO
1122,5,0.439225,NO
1123,1,0.005545,NO
1124,3,0.000000,NO
1125,1,0.000000,NO
1126,3,0.000000,NO
1127,1,0.023028,NO
1128,1,0.000000,NO
1129,4,0.000000,NO
1130,1,0.023028,NO
1131,3,0.000000,NO
1132,1,0.023028,NO
1133,2,0.000000,NO
1134,4,0.000000,NO
1135,1,0.007974,NO
1136,1,0.007974,NO
1137,1,0.007974,NO
1138,1,0.007974,NO
1139,1,0.023028,NO
1140,12,0.000000,NO
1141,2,0.000000,NO
1142,3,0.000000,NO
1143,29,0.040000,NO
1144,2,0.000000,NO
1145,3,0.000000,NO
1146,1,0.000000,NO
1147,3,0.000000,NO
1148,1,0.007974,NO
1149,0,0.000000,NO
