@relation BOOKKEEPER_full

@attribute Release numeric
@attribute LOC numeric
@attribute #Parameters numeric
@attribute #Authors numeric
@attribute #Revisions numeric
@attribute StmtAdded numeric
@attribute StmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute #Branches numeric
@attribute NestingDepth numeric
@attribute NFix numeric
@attribute NSmells numeric
@attribute Buggy {no,yes}

@data
3,0,0,1,1,0,0,0,0,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,yes
4,1,0,1,2,1,0,1,0.5,0,0,0,0,no
2,10,1,1,1,10,0,10,10,2,2,0,0,no
5,4,1,1,1,4,0,4,4,0,0,0,0,no
5,0,2,2,4,13,13,13,6.5,0,0,1,0,no
3,2,0,1,1,2,0,2,2,0,0,0,0,no
4,0,3,1,1,0,0,0,0,0,0,0,0,no
5,1,1,1,1,1,0,1,1,0,0,0,0,no
5,9,1,1,1,9,0,9,9,2,2,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
4,3,0,1,1,3,0,3,3,2,0,0,0,no
4,6,1,1,1,6,0,6,6,2,1,0,0,no
3,2,1,1,1,2,0,2,2,0,0,1,0,no
4,5,3,1,1,5,0,5,5,2,1,0,0,no
1,1,1,1,1,1,0,1,1,0,0,0,0,no
4,46,3,1,3,47,1,47,16,11,5,1,3,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
5,12,4,1,1,12,0,12,12,2,1,0,0,no
4,8,2,1,1,8,0,8,8,2,2,0,0,no
4,12,0,1,1,12,0,12,12,4,4,0,0,no
3,3,2,1,3,5,2,5,2.333333,0,0,0,0,no
3,1,1,1,1,1,0,1,1,0,0,0,0,no
3,3,0,1,1,3,0,3,3,0,0,0,0,no
5,39,1,2,3,39,0,33,13,15,3,1,3,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
3,0,2,1,1,0,0,0,0,0,0,0,0,no
4,1,1,1,1,1,0,1,1,0,0,0,0,no
5,0,1,1,1,0,0,0,0,0,0,0,0,no
5,0,0,1,2,1,0,1,0.5,0,0,1,0,no
3,16,8,2,3,16,0,9,5.333333,2,1,0,1,no
2,10,1,1,1,10,0,10,10,2,1,0,0,no
4,4,3,2,2,5,1,5,3,0,0,0,0,no
3,1,0,1,1,1,0,1,1,0,0,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
4,1,4,1,1,1,0,1,1,0,0,1,0,no
5,0,1,2,6,34,34,31,11.333333,0,0,1,0,no
5,18,3,1,1,18,0,18,18,8,1,0,1,no
2,4,0,1,1,4,0,4,4,1,1,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
5,1,5,4,5,6,5,5,2.2,0,0,2,0,yes
4,1,1,1,1,1,0,1,1,0,0,0,0,no
4,5,0,1,1,5,0,5,5,2,1,0,0,no
5,3,3,1,1,3,0,3,3,0,1,0,0,no
1,31,0,1,1,31,0,31,31,7,3,0,4,no
4,4,1,1,1,4,0,4,4,0,0,0,0,no
3,0,0,1,1,0,0,0,0,0,0,0,0,no
4,0,4,1,1,0,0,0,0,0,0,0,0,no
2,9,2,2,4,10,1,10,2.75,1,1,0,1,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
4,16,1,1,2,16,0,13,8,2,1,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
4,0,1,1,1,0,0,0,0,0,0,0,0,no
4,5,4,2,2,5,0,4,2.5,1,1,0,0,no
4,1,1,1,1,1,0,1,1,0,0,0,0,no
5,1,1,1,1,1,0,1,1,0,0,0,0,no
5,15,4,2,2,15,0,15,7.5,2,2,1,0,no
3,10,1,1,1,10,0,10,10,2,1,0,0,no
3,4,1,1,1,4,0,4,4,1,2,0,0,no
5,0,1,1,1,0,0,0,0,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
2,3,0,1,1,3,0,3,3,0,0,0,0,yes
5,14,2,1,1,14,0,14,14,1,1,0,0,no
5,2,1,1,1,7,0,7,7,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
3,9,1,1,1,9,0,9,9,2,2,0,0,no
4,26,0,1,5,26,0,21,5.2,7,3,2,0,no
5,7,1,1,1,7,0,7,7,1,1,0,0,no
5,25,1,1,1,25,0,25,25,7,3,0,0,no
2,7,1,1,1,7,0,7,7,0,0,0,0,no
2,1,2,1,1,1,0,1,1,0,0,0,0,no
4,10,2,1,1,10,0,10,10,1,1,0,0,no
4,0,0,1,2,1,0,1,0.5,0,0,1,0,no
5,7,0,1,1,7,0,7,7,1,1,1,0,no
3,0,1,1,1,4,0,4,4,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
4,13,0,2,2,13,0,10,6.5,4,4,1,0,no
4,9,5,1,1,9,0,9,9,3,1,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
5,4,0,1,1,4,0,4,4,1,1,0,0,no
4,8,0,1,1,8,0,8,8,3,3,0,0,no
5,6,0,1,1,6,0,6,6,0,1,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
5,1,1,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
5,1,2,1,1,1,0,1,1,0,0,0,0,no
4,10,1,1,2,10,0,6,5,3,2,1,1,no
1,26,0,1,1,26,0,26,26,3,3,0,1,no
3,2,0,2,5,11,10,7,4.2,0,0,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
4,11,2,1,1,11,0,11,11,4,2,0,0,no
3,4,3,1,1,4,0,4,4,1,1,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
3,2,1,2,2,2,0,1,1,0,0,0,0,no
3,0,0,1,1,1,0,1,1,0,0,0,0,no
5,1,2,1,1,1,0,1,1,0,0,0,0,no
2,1,3,1,1,1,0,1,1,0,0,0,0,no
4,8,0,1,1,8,0,8,8,1,1,0,0,no
5,1,1,1,1,1,0,1,1,0,0,0,0,no
1,15,4,1,2,15,0,11,7.5,4,2,0,0,no
2,84,3,3,4,96,91,96,46.75,15,4,0,2,no
4,0,2,1,1,0,0,0,0,0,0,1,0,no
3,1,0,1,1,1,0,1,1,0,0,0,0,no
5,2,1,2,2,2,0,2,1,1,1,0,0,no
4,3,0,1,1,3,0,3,3,1,1,1,0,no
1,8,1,1,1,8,0,8,8,3,1,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
2,7,1,1,1,7,0,7,7,2,1,0,0,yes
5,4,0,1,1,4,0,4,4,0,0,0,0,no
5,1,2,1,1,1,0,1,1,0,0,1,0,no
4,2,1,1,1,2,0,2,2,1,1,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
5,14,2,1,1,14,0,14,14,3,2,0,1,no
1,1,1,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
3,11,5,3,3,11,0,10,3.666667,3,2,0,0,yes
2,0,1,2,3,13,13,13,8.666667,0,0,0,0,no
