Release,LOC,#Parameters,#Authors,#Revisions,StmtAdded,StmtDeleted,MaxChurn,AvgChurn,#Branches,NestingDepth,NFix,NSmells,Buggy
2,8,1,1,1,8,0,8,8,2,2,0,0,no
2,29,1,1,1,29,0,29,29,7,2,0,0,yes
2,15,1,1,1,15,0,15,15,3,3,0,0,no
2,9,2,1,1,9,0,9,9,2,2,0,0,no
2,31,1,1,1,31,0,31,31,8,3,0,0,yes
2,90,0,1,2,90,0,74,45,19,5,0,0,no
2,13,3,1,1,13,0,13,13,6,2,0,0,no
2,24,0,1,1,24,0,24,24,8,3,0,0,yes
2,45,2,1,1,45,0,45,45,14,6,0,0,no
2,35,1,1,1,35,0,35,35,6,4,0,0,no
2,34,1,1,1,34,0,34,34,6,4,0,0,no
2,8,0,1,1,8,0,8,8,0,0,0,0,no
2,22,1,2,2,22,0,22,11,1,1,0,0,yes
2,14,1,1,1,14,0,14,14,1,1,0,0,yes
2,5,0,1,1,5,0,5,5,0,0,0,0,no
2,14,2,1,1,14,0,14,14,1,1,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
2,2,6,1,1,2,0,2,2,0,0,0,0,no
2,41,2,2,2,41,0,33,20.5,4,2,0,0,yes
2,11,0,3,3,11,0,6,3.666667,3,2,0,0,no
2,9,0,1,1,9,0,9,9,1,1,0,0,no
2,16,1,1,1,16,0,16,16,5,3,0,0,yes
2,8,2,1,1,8,0,8,8,4,2,0,0,no
2,53,3,2,2,53,0,53,26.5,10,3,0,0,yes
2,31,4,1,1,18,0,18,18,7,3,0,0,yes
2,37,3,1,1,37,0,37,37,6,2,0,0,no
2,39,1,1,1,39,0,39,39,7,4,0,0,no
2,64,7,2,2,64,0,58,32,13,5,0,0,no
2,10,1,1,1,10,0,10,10,1,1,0,0,no
2,32,2,3,4,32,0,29,8,5,3,0,0,no
2,35,0,2,2,14,0,11,7,8,3,0,0,no
2,53,5,1,2,53,0,50,26.5,13,3,0,0,no
2,17,0,2,3,20,0,18,6.666667,8,3,0,0,no
2,47,3,1,1,47,0,47,47,12,3,0,0,no
2,42,4,1,1,42,0,42,42,12,3,0,0,no
2,32,3,2,2,32,0,26,16,2,1,0,0,no
2,30,1,1,1,30,0,30,30,9,4,0,0,no
2,21,5,1,1,22,0,22,22,8,4,0,0,no
2,15,7,1,1,15,0,15,15,3,1,0,0,no
3,69,1,1,3,69,0,61,23,5,1,1,0,no
3,50,3,1,1,50,0,50,50,11,5,0,0,no
3,88,1,1,2,88,0,84,44,20,7,0,0,yes
3,50,0,1,2,6,4,6,5,11,3,0,0,no
3,117,1,2,5,119,2,89,24.2,16,3,0,0,yes
3,26,6,3,3,26,0,25,8.666667,3,2,0,0,no
3,15,1,1,1,15,0,15,15,4,2,0,0,yes
3,108,1,2,4,114,6,81,30,23,5,0,0,yes
3,37,0,4,9,56,55,43,12.333333,10,5,1,0,no
3,52,1,2,4,52,0,41,13,16,4,2,0,no
3,36,0,3,6,75,39,62,19,8,5,2,0,no
3,32,3,2,2,32,0,23,16,8,5,0,0,no
3,26,0,2,3,26,0,26,8.666667,7,4,0,0,no
3,12,2,2,4,14,2,8,4,1,1,0,0,no
3,15,2,1,2,15,0,12,7.5,1,1,0,0,no
3,27,3,1,1,27,0,27,27,10,4,0,0,no
3,15,1,3,4,15,0,14,3.75,1,1,1,0,no
3,25,1,3,4,25,0,11,6.25,8,2,1,0,yes
3,14,2,1,1,14,0,14,14,3,2,0,0,no
3,16,1,1,1,16,0,16,16,3,2,0,0,no
3,13,1,1,1,13,0,13,13,2,1,0,0,no
3,28,3,2,2,29,1,29,15,3,2,0,0,no
3,42,2,1,2,42,0,40,21,15,6,0,0,no
3,11,1,1,2,11,0,9,5.5,5,3,1,0,no
3,12,0,1,2,12,0,9,6,2,1,1,0,no
3,22,1,1,1,22,0,22,22,6,3,0,0,no
3,18,0,2,3,19,1,19,6.666667,4,3,1,0,no
3,10,2,2,2,10,0,10,5,1,3,0,0,yes
3,19,1,2,3,19,0,17,6.333333,4,3,2,0,no
3,17,1,1,2,17,0,17,8.5,4,3,1,0,yes
3,12,2,2,5,13,1,10,2.8,3,2,1,0,no
3,34,3,3,4,34,0,31,8.5,7,2,0,0,no
3,37,2,1,2,37,0,36,18.5,8,2,0,0,no
3,22,1,1,4,22,0,19,5.5,8,4,1,0,no
3,30,2,1,1,30,0,30,30,9,3,0,0,no
